Material.Code,Plant,Batch,RM Stock Length,RM Stock Breadth,RM Stock Thickness,RM Stock Density,Item.Name,Ware.house.Stock,End.Band,Moving.Average.Price,Lead.Times,Sub.contractor.Stock,Min.Order.Quantity.data
2110002,,MKO090,2500,1250,1.2,0.00000894,,410,0,36,6,,
2110002,,MKO091,2000,1250,1.2,0.00000894,,500,0,36,6,,
2110006,,MKO093,,1250,1.2,0.00000894,,500,0,33,6,,
