"","sfg","month","04442031AA _2021141-305-1580","04442032AA_2021141-305-1580","04442033AA_2020009-1260-2500","04442034AA _2020009-1260-2500","04442127AA _2020009-465-1035","870-10728E_2110002-NA-NA","870-10728E_2110006-NA-NA","870-10733D_2110001-1250-1970","870-10733D_2110001-1250-2000","870-10733D_2110015-NA-1250","870-10734D_2110001-1250-1970","870-10734D_2110001-1250-2000","870-10734D_2110015-NA-1250","870-10777D_2110001-NA-NA","870-10777D_2110015-NA-NA","870-11355A_2021127-1250-2500","870-11356A_2021127-1250-2500","870-11401B_2110001-1250-1970","870-11401B_2110001-1250-2000","870-11401B_2110001-1250-2500","870-11401B_2110015-NA-1250","870-11406_2020002-415-2000","870-11407_2020002-415-2000","870-11410C_2110002-1250-2000","870-11410C_2110002-1250-2500","870-11410C_2110006-NA-1250","870-11538_2020005-1250-2500","870-11538_2021199-NA-1250","870-11759A_2020404-1250-2500","870-11760A_2020010-1250-2500","870-11761_2020194-1250-2500","870-12872_2020003-NA-NA","S1A80792_2021141-354-1600","S1A80792_2021141-380-1420","S1A81002D_2021163-380-1420","S1A81051D_2021163-380-1650","S1A84387D_2021364-98.5-1250","S1A84391D_2021364-98.5-1250","S1A84392D_2021364-98.5-1250","S1A85168_2021141-354-1600","S1A85168_2021141-380-1420","S1A85379_2020005-NA-NA","S1A85380_2020005-NA-NA","S1A85382D_2020009-NA-NA","S1A85383D_2020009-NA-NA","S1A89220D_2021364-98.5-1250","S1A98280D_2021141-354-1600","CIR.Sales.order.No..Rejection.Production.order.requirement"
"22","S1A80792",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75187969924812,0.75187969924812,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"23","S1A81002D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,300
"24","S1A81051D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314465408805031,0,0,0,0,0,0,0,0,0,0,0,200
"25","S1A84387D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,10000
"26","S1A84391D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,10000
"27","S1A84392D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1e+05
"28","S1A85168",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75187969924812,0.75187969924812,0,0,0,0,0,0,500
"29","S1A85379",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68181818181818,0,0,0,0,0,500
"30","S1A85380",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68181818181818,0,0,0,0,500
"31","S1A85382D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63132137030995,0,0,0,500
"32","S1A85383D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5187969924812,0,0,500
"33","S1A89220D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10000
"34","S1A98280D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111,500
