"Batch","Order.no","SFG.Material.Number","RM.Number","Plant","Order.requirement","Forecast.Date","Mfg.Lead.time","Kit.Number","FG.Material.number","FG.SFG.Material.Length","FG.SFG.Material.Breadth","RM.required.quantity","RM.Thickness","RM.Density","BOM.Priority.List","Moving.Average.Price","Lead.Time.x","Qty..Set","X","X.1","Coil","RM.Length","RM.Breadth","wastage","fromStock","Purchase","Lead.Time.y","Cost","Remarks","Stock.Plant"
"NA","3A","S1A81002D",2021163,1001,200,"01-09-2016",11,"","S1A81002D",710,380,3.176895,1.5,7.85e-06,NA,33.5,30,1,NA,"","","1420","380","0","0","635.378999999827","30","33.5","",NA
NA,"2A","870-17617",2011180,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",258,101,0.61,2,7.85e-06,2,43,30,2,122,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-0174",2030033,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",950,895,6.25,1.5,2.8e-06,2,198,30,1,NA,"",NA,"2440","1220",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-0177",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,55.5,0.43,2,7.85e-06,2,43,30,1,43,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-17616",2011180,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",662,446,8.18,2,7.85e-06,2,43,30,1,818,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-27105A",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",558,114.5,1.11,2,7.85e-06,2,43,30,1,111,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-62848",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,67.5,0.48,2,7.85e-06,2,43,30,1,48,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-27104",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",595,98,1,2,7.85e-06,2,43,30,1,100,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"3A","870-11410C",2110006,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,NA,2,7.85e-06,3,44.5,35,1,0,"Galvannealed-2.0mm Sht",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"3A","870-11410C",2110002,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,0.923,2,7.85e-06,2,55,35,1,1846,"Galvannealed-2.0mm Sht",NA,"2000","1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-94243A",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","870-94243A",360,120.4,1.22,2,7.85e-06,2,43,30,1,122,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
