From.Material.Number,From.Material.Name,Coil.Width,Moving.Avg.Price,To.Material.Number,To.Material.Name,Density,Sheet.Thickness,Sheet.Length,Sheet.Breadth,Moving.Avg.Price,MOQ,Wastage,PKG.Cost,Transport.Cost,Processing.Cost,Conversion.Cost
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1750,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1700,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1650,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1600,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1550,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1500,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1450,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1400,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1350,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1300,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1250,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1200,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1150,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1100,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1050,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1000,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,950,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,900,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,850,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,800,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,750,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,720,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1850,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1820,710,43.5,4000,,0.45,0.25,2.9,3.6
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1500,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2500,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2500,900,43.5,4000,,0.45,0.25,2.9,3.6
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2800,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2750,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2700,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2650,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2650,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2600,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2500,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2450,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2440,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2400,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2350,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2330,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2300,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2250,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2200,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2150,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2100,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2070,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2050,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,2000,1250,41,1000,,0.45,0.25,0.675,1.375
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1950,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1900,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1850,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1800,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1750,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1700,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1650,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1600,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1550,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1500,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1450,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1400,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1350,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1300,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1250,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1200,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1150,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1100,1250,41.75,1000,,0.45,0.25,0.75,1.45
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1050,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,1000,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,950,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,900,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,850,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,800,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,750,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021221,"CRCA-IS 513,D GRADE, 0.9 x 1250mmxCoil",1250,38,2021142,CRCA - 0.9mm Sht D Grade IS-513,,0.9,720,1250,42.5,1000,,0.45,0.25,0.825,1.525
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1850,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1820,710,43.5,4000,,0.45,0.25,2.9,3.6
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1500,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2500,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2500,900,43.5,4000,,0.45,0.25,2.9,3.6
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2800,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2750,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2700,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2650,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2650,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2600,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2500,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2450,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2440,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2400,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2350,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2330,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2300,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2250,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2200,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2150,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2100,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2070,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2050,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,2000,1250,41,1000,,0.45,0.25,0.675,1.375
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1950,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1900,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1850,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1800,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1750,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021166,"CRCA-IS 513,D GRADE, 1.0 x 1250mmxCoil",1250,38,2020001,CRCA - 1.0mm Sht D Grade IS-513,,1,1700,1250,41.25,1000,,0.45,0.25,0.725,1.425
