Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
220000036,10,1003,10,01.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000036,10,1003,10,01.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000037,10,1003,20,01.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000037,10,1003,20,01.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000038,10,1003,30,01.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000038,10,1003,30,01.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000039,10,1003,50,20.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000039,10,1003,50,20.05.2016,01.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000040,10,1003,25,02.05.2016,02.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000040,10,1003,25,02.05.2016,02.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000042,10,1003,50,07.05.2016,09.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000042,10,1003,50,07.05.2016,09.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000043,10,1003,30,10.05.2016,09.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,,,0,0,,,,,,,,,,,
220000043,10,1003,30,10.05.2016,09.05.2016,0,ACRC 100          ,                  ,,0M-6387C,0,0,0,,,0,0,0,0,,,,,,,,,,,
220000044,10,1003,10,12.05.2016,12.05.2016,3,                  ,                  ,,,,0,0,,,,,0,0,,,,,,,,,,,
220000044,10,1003,10,12.05.2016,12.05.2016,3,                  ,                  ,,,,0,0,,,0,0,0,0,,,,,,,,,,,
220000047,10,1003,50,13.05.2016,13.05.2016,3,                  ,                  ,,,,0,0,,,,,0,0,,,,,,,,,,,
220000047,10,1003,50,13.05.2016,13.05.2016,3,                  ,                  ,,,,0,0,,,0,0,0,0,,,,,,,,,,,
220000048,10,1003,100,14.05.2016,14.05.2016,3,                  ,                  ,,,,0,0,,,,,0,0,,,,,,,,,,,
220000048,10,1003,100,14.05.2016,14.05.2016,3,                  ,                  ,,,,0,0,,,0,0,0,0,,,,,,,,,,,
220000049,10,1003,100,18.05.2016,18.05.2016,5,                  ,                  ,,870-11538,200,0,0,,2020005,2500,1250,0.024,1,,,,0,4.79999999999754,0,,,,0,0
