Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
220000026,10,1003,5,04.05.2016,04.05.2016,0,ACRC501           ,0H-0042E          ,2,1410193,2,255,196.5,,2010041,2500,280,1.19,1,,,,0,2.38,14.1014,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,0H-0109A          ,0,1411098,2,1869.21,322.05,,2010002,2000,1250,5.83,1,,,,0,11.66,27.7625,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,0H-0128A          ,2,1411099,2,158,34.57,,2010002,2000,1250,0.06,1,,,,0,0.12,5.6156,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,0M-5910F          ,2,1411100,2,178.85,171.4,,2010002,2000,1250,0.3,1,,,,0,0.6,5.5829,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11400B,4,593.5,34,2021115,2020003,2500,1250,0.76,1,,,,0,3.04,5.7237,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12942         ,0,870-11404B,2,927.6,595.9,,2020002,2150,1250,6.32,1,,,,0,12.64,17.7292,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12948         ,0,870-11406A,2,1966.2,357,,2020002,2000,415,7.82,1,,,,0,15.64,15.4297,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11407,2,1966.2,357,,2020002,2000,415,7.82,1,,,,0,15.64,15.4297,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11408A,4,832.2,59.15,2110015,2110001,2000,1250,0.95,1,,,,0,3.8,17.3026,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12956A        ,2,870-11409A,4,1907,59.15,,2110001,2000,1219,1.94,1,,,,0,7.76,7.4659,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11411B,12,82.1,32.3,,2020006,2500,1250,0.06,0,,,,0,0.72,1.9884,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11518A,8,1030,885,,2020002,1030,855,8.3,1,,,,0,66.4,100,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12966         ,2,870-11520A,8,975,21.5,,2020002,2500,1250,0.24,0,,,,0,1.92,22.1872,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11525A,2,885,22.5,2021115,2020003,2500,1250,0.24,1,,,,0,0.48,29.2708,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11526,2,885,22.5,2021115,2020003,2500,1250,0.24,1,,,,0,0.48,29.2708,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11629B,12,82.1,32.3,,2020006,2500,1250,0.06,0,,,,0,0.72,1.9884,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11674,2,36.54,18,2021115,2020003,2500,1250,0.013,1,,,,0,0.026,1.2473,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11808,2,88.34,20,2021199,2020005,2500,1250,0.075,1,,,,0,0.15,1.0592,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-11968,2,70.21,36.54,2021115,2020003,2500,1250,0.039,1,,,,0,0.078,2.3068,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12557,6,570.9,20.7,2021115,2020003,2500,1250,0.154,1,,,,0,0.924,9.2406,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12852A,12,967.5,183.35,,2010041,2500,1250,2.45,1,,,,0,29.4,26.2053,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12872,2,255,196.5,,2020003,1951,690,15.86,1,,,,0,31.72,21.8344,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12873,2,543.16,59.15,2021115,2020003,2500,1250,0.47,1,,,,0,0.94,13.6402,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12874,2,1306.29,59.15,2021115,2020003,2500,1250,1.26,1,,,,0,2.52,48.0765,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12875,2,132.35,32.55,2021115,2020003,2500,1250,0.05,1,,,,0,0.1,5.7067,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12902A        ,2,,,1640,161.64,,2010041,1900,1250,3.76,1,,,,0,7.52,21.8683,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12904A        ,2,,,476.79,396.26,,2010041,2500,1250,2.82,1,,,,0,5.64,9.3123,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12905A        ,2,,,1701.35,122.7,,2010002,2000,1250,1.97,1,,,,0,3.94,16.4977,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12906A        ,2,,,1624,97,,2010002,2000,1250,1.6,1,,,,0,3.2,24.3866,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12907E,2,1873,452.88,,2010041,2500,1250,18.4,1,,,,0,36.8,45.7124,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12908A,2,141,104.23,,2010041,2500,1250,4.6,1,,,,0,9.2,12.0566,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12911         ,2,,,598.99,570.95,,2010041,1900,1250,5.48,1,,,,0,10.96,13.6017,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12914B        ,2,,,1876,836.85,,2010041,1900,1250,22.87,1,,,,0,45.74,33.8977,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12916E        ,2,,,1880,920.92,,2010041,1900,1250,23.75,1,,,,0,47.5,27.1019,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12922,6,1186.5,433,,2010041,2500,1250,6.6,1,,,,0,39.6,17.7993,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12924,24,252,49.19,,2010002,2500,1250,0.1,1,,,,0,2.4,10.7497,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12925,12,555,50.59,,2010002,2500,1250,0.24,1,,,,0,2.88,11.9491,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,                  ,,870-12926,12,390.66,116.65,,2010002,2500,1250,0.396,1,,,,0,4.752,8.1299,Lead over due Date,,,0,0
220000026,10,1003,5,04.05.2016,04.05.2016,0,                  ,870-12939B        ,2,,,656.5,261.5,,2010041,2500,1250,4.6,1,,,,0,9.2,34.0769,Lead over due Date,,,0,0
