Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,0H-0109A          ,50,000000000001411098,50,1869.21,322.05,,2010002,2000,1250,5.83,1,,,,0,291.5,27.7625,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,0H-0128A          ,50,000000000001411099,50,158,34.57,,2010002,2000,1250,0.06,1,,,,0,3,5.6156,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,0M-5910F          ,50,000000000001411100,50,178.85,171.4,,2010002,2000,1250,0.3,1,,,,0,15,5.5829,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-10728E,100,653,208,2110006,2110002,2500,1250,2.13,1,,,,0,213,21.7654,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-10733D,100,1955,165,2110015,2110001,2000,1250,4.2,1,,,,0,420,9.679,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-10734D,100,1955,165,2110015,2110001,2000,1250,4.2,1,,,,0,420,9.679,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-10777D,100,602,120.5,2110015,2110001,2500,1250,0.84,1,,,,0,84,7.1475,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12927         ,600,870-11355A,300,74,44.55,,2021127,2500,1250,0.091,0,,,,0,27.3,2.5232,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11356A,300,74,44.55,,2021127,2500,1250,0.091,0,,,,0,27.3,2.5232,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11400B,100,593.5,34,2021115,2020003,2500,1250,0.76,1,,,,0,76,5.7237,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11401B,100,499.6,46.08,2110015,2110001,2500,1250,0.273,1,,,,0,27.3,0.5468,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11408A,100,832.2,59.15,2110015,2110001,2000,1250,0.95,1,,,,0,95,17.3026,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12956A        ,50,870-11409A,100,1907,59.15,,2110001,2000,1220,1.94,1,,,,0,194,7.5418,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11410C,100,294,159.4,2110006,2110002,2500,1250,0.82,1,,,,0,82,10.0219,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11411B,300,82.1,32.3,,2020006,2500,1250,0.06,0,,,,0,18,1.9884,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-13689A        ,100,,,981.2,147.2,2012160,2010005,2500,1250,2.58,1,,,,0,258,26.0505,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11525A,50,885,22.5,2021115,2020003,2500,1250,0.24,1,,,,0,12,29.2708,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11526,50,885,22.5,2021115,2020003,2500,1250,0.24,1,,,,0,12,29.2708,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11538,200,63,31,2021199,2020005,2500,1250,0.025,1,,,,0,5,2.5062,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11629B,300,82.1,32.3,,2020006,2500,1250,0.06,0,,,,0,18,1.9884,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11672B,50,73,52,,2020228,2500,1250,0.11,0,,,,0,5.5,0.8788,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11674,50,36.54,18,2021115,2020003,2500,1250,0.013,1,,,,0,0.65,1.2473,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11759A,400,233,58,,2020404,2500,1250,0.51,0,,,,0,204,7.0237,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11760A,400,125,58,,2020194,2500,1250,0.08,1,,,,0,32,0.24,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11761,400,120,41,,2020010,2500,1250,0.22,0,,,,0,88,5.536,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11808,50,88.34,20,2021199,2020005,2500,1250,0.075,1,,,,0,3.75,1.0592,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-11968,50,70.21,36.54,2021115,2020003,2500,1250,0.039,1,,,,0,1.95,2.3068,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12557,150,570.9,20.7,2021115,2020003,2500,1250,0.154,1,,,,0,21.1,9.2406,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12872,50,1911,651.2,,2020003,1951,690,15.86,1,,,,0,793,7.5581,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12873,50,543.16,59.15,2021115,2020003,2500,1250,0.47,1,,,,0,23.5,13.6402,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12874,50,1306.29,59.15,2021115,2020003,2500,1250,1.26,1,,,,0,63,48.0765,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12875,50,132.35,32.55,2021115,2020003,2500,1250,0.05,1,,,,0,2.5,5.7067,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12881,50,290.8,125,2021115,2020003,2500,1250,0.27,1,,,,0,13.5,6.944,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12905A        ,50,,,1701.35,122.7,,2010002,2000,1250,1.97,1,,,,0,98.5,16.4977,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12906A        ,50,,,1624,97,,2010002,2000,1250,1.6,1,,,,0,80,24.3866,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12919A        ,50,,,158.6,63,2012160,2010005,2500,1250,0.225,1,,,,0,11.25,8.8748,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12920A        ,50,,,88.2,65,2012160,2010005,2500,1250,0.13,1,,,,0,6.5,2.4014,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12923         ,150,,,605.2,339.4,2012160,2010005,2500,1250,3.82,1,,,,0,573,7.9786,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12924,600,252,49.19,,2010002,2500,1250,0.1,1,,,,0,60,10.7497,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12925,300,555,50.59,,2010002,2500,1250,0.24,1,,,,0,72,11.9491,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-12926,300,390.66,116.65,,2010002,2500,1250,0.396,1,,,,0,118.8,8.1299,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12935D        ,50,,,945.2,717.6,,2020009,2200,1000,17.27,1,,,,0,863.5,7.5079,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12941         ,150,,,263.4,124.7,,2010002,2500,1250,0.45,1,,,,0,67.5,5.4036,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12948         ,50,,,304.88,127,,2010002,2500,1250,0.4,1,,,,0,20,5.8335,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12952         ,50,,,528,33.13,,2010002,2500,1250,0.21,1,,,,0,10.5,16.0353,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12954A        ,50,,,468,70,,2010002,2500,1250,0.26,1,,,,0,13,10.8928,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12961         ,50,,,270,220.63,,2010002,2500,1250,0.59,1,,,,0,29.5,14.2191,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12962         ,50,,,238.48,150,,2010002,2500,1250,0.43,1,,,,0,21.5,8.4237,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12970A        ,50,,,850,91.2,,2010002,2500,1250,1,1,,,,0,50,33.0227,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12971         ,50,,,317.25,82.35,,2010002,2500,1250,0.32,1,,,,0,16,12.2182,Lead over due Date,,,0,0
