Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,                  ,,870-10728E,8,653,208,2110006,2110002,2500,1250,2.13,1,,,,0,17.0400000000043,21.765376,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12919A        ,0,870-10733D,8,1955,165,2110015,2110001,2000,1250,4.2,1,,,,0,33.5999999999983,9.679,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12920A        ,0,870-10734D,8,1955,165,2110015,2110001,2000,1250,4.2,1,,,,0,33.5999999999983,9.679,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12923         ,0,870-10777D,8,602,120.5,2110015,2110001,2500,1250,0.84,1,,,,0,6.72000000000108,7.14752,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12927         ,0,870-11355A,24,74,44.55,,2021127,2500,1250,0.091,0,,,,0,2.18400000000059,2.52317440000001,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12935D        ,0,870-11356A,24,74,44.55,,2021127,2500,1250,0.091,0,,,,0,2.18400000000059,2.52317440000001,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12941         ,0,870-11401B,8,499.6,46.08,2110015,2110001,2500,1250,0.273,1,,,,0,2.1839999999998,0.546826240000009,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12957A        ,0,870-11410C,8,294,159.4,2110006,2110002,2500,1250,0.82,1,,,,0,6.55999999999974,10.021888,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12972A        ,0,870-11538,16,63,31,2021199,2020005,2500,1250,0.025,1,,,,0,0.4,2.50624,Lead over due Date,,,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,                  ,870-12977         ,0,870-11759A,32,233,58,,2020404,2500,1250,0.51,0,,,,0,16.3199999999958,7.02368,Lead over due Date,,,0,0
