Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
220000060,10,1003,50,21.05.2016,21.05.2016,0,,870-12916E        ,50,,,1880,920.92,,2010041,1900,1250,23.75,1,1003,0000002345,IND ,440.82,0,27.1019,Lead over due Date, , ,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,,870-12916E        ,50,,,1880,920.92,,2010041,1900,1250,23.75,1,1003,0000002359,PRD ,746.68,0,27.1019,Lead over due Date, , ,0,0
220000060,10,1003,50,21.05.2016,21.05.2016,0,,870-12916E        ,50,,,1880,920.92,,2011012,0,1250,23.75,2,,,,,,,,,,,
220000061,10,1003,25,21.05.2016,21.05.2016,0,,870-12916E        ,25,,,1880,920.92,,2010041,1900,1250,23.75,1,1003,0000002345,IND ,0,0,27.1019,Lead over due Date, , ,0,0
220000061,10,1003,25,21.05.2016,21.05.2016,0,,870-12916E        ,25,,,1880,920.92,,2010041,1900,1250,23.75,1,1003,0000002359,PRD ,593.75,0,27.1019,Lead over due Date, , ,0,0
220000061,10,1003,25,21.05.2016,21.05.2016,0,,870-12916E        ,25,,,1880,920.92,,2011012,0,1250,23.75,2,,,,,,,,,,,
220000062,10,1003,75,21.05.2016,21.05.2016,0,,870-12916E        ,75,,,1880,920.92,,2010041,1900,1250,23.75,1,1002,0000002358,IND ,121.68,0,27.1019,Lead over due Date, , ,0,0
220000062,10,1003,75,21.05.2016,21.05.2016,0,,870-12916E        ,75,,,1880,920.92,,2010041,1900,1250,23.75,1,1003,0000002359,PRD ,1659.57,0,27.1019,Lead over due Date, , ,0,0
220000062,10,1003,75,21.05.2016,21.05.2016,0,,870-12916E        ,75,,,1880,920.92,,2011012,0,1250,23.75,2,,,,,,,,,,,
220000076,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,,2010041,1900,1250,23.75,1,,,,0,96.68,27.1019,Lead over due Date,,,0,0
220000076,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,2011012,2010041,1900,1250,23.75,1,1003,0000002343,IND ,900,0,27.1019,Lead over due Date, , ,0,0
220000076,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,2011012,2010041,1900,1250,23.75,1,1002,0000002347,IND ,9500,0,27.1019,Lead over due Date, , ,0,0
220000076,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,,2010041,1900,1250,23.75,1,1002,0000002358,IND ,1378.32,0,27.1019,Lead over due Date, , ,0,0
220000076,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,,2011012,0,1250,23.75,2,,,,,,,,,,,
220000077,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,,2010041,1900,1250,23.75,1,,,,0,11875,27.1019,Lead over due Date,,,0,0
220000077,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,2011012,2010041,1900,1250,23.75,1,1003,0000002343,IND ,0,0,27.1019,Lead over due Date, , ,0,0
220000077,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,2011012,2010041,1900,1250,23.75,1,1002,0000002347,IND ,0,0,27.1019,Lead over due Date, , ,0,0
220000077,10,1003,500,28.05.2016,28.05.2016,0,,870-12916E        ,500,,,1880,920.92,,2011012,0,1250,23.75,2,,,,,,,,,,,
