Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24042-PART3,20,0,0,,2020003,2500,1250,0.026,1,1002,0000002315,IND ,0.519999999999601,0,0,, , ,0,0
220000080,10,1002,20,31.05.2016,31.05.2016,0,0N-10192          ,0M-816301         ,20,0M-816300,20,0,0,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,0M-816312         ,20,0M-816314-PART8,40,0,0,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,0M-816313         ,20,0M-816332,20,0,0,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,0M-816314         ,20,0M-823331-PART7,40,85,41,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,0M-823331         ,20,870-17483,40,50,50,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24031         ,20,870-17484,20,1110,80,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24032         ,40,870-17485,40,48,47,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24035         ,20,870-17486,20,1112,75,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24036         ,20,870-23962,20,640,105,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24038         ,60,870-23964,20,110,110,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24039         ,20,870-23965,20,450,105,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24042         ,20,870-23966,20,110,110,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24030,40,232,40,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24058         ,20,870-24036-PART1,20,1173,265,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24036-PART2,20,65,55,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24041,20,1865,920,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-24448         ,20,870-24042-PART1,20,353,326,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,870-25361         ,20,870-24042-PART2,20,65,40,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24043,20,281,131,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24044,20,0,0,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24044-PART1,20,1150,370,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24044-PART2,20,1111,156,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24044-PART3,20,1118,50,,,,,0,0,,,,,,,,,,,
220000080,10,1002,20,31.05.2016,31.05.2016,0,                  ,                  ,,870-24045,20,1190,1050,,,,,0,0,,,,,,,,,,,
