Order.No,Plant,Item,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,RM.Thickness,RM.Density,Priority,Moving.Average.Price,RM.Lead.Time
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-12083A,,870-17617,200,258,101,2011180,,1250,0.61,2,0.00000785,2,43,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-817548A,,870-26788,100,505,125,2030003,2500,1000,0.41,2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-818690B,,870-26618,100,631,132,2030003,2500,1000,0.87,2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",870-26692B,,870-26692B,100,267,171,2030001,2500,1220,0.25,1.2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",870-26693A,,870-26693A,100,158,58,2030003,2500,1000,0.08,2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-818690B,,870-26684A,100,347,54,2040198,2500,1250,0.13,1,0.00000785,,200,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-818690B,,870-26687A,100,275,190,2030003,2500,1000,0.32,2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-818690B,,870-26682A,200,98,54,2040198,,,0.04,1,0.00000785,,200,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL2025E100",0M-818690B,,870-27140A,100,890,1220,2030003,2500,1000,7,2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL18NA",870-0178A,,870-0178A,100,480.2,417.5,2030033,2500,925,0.97,1.5,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL18NA",870-0179A,,870-0179A,100,226.5,183.5,2030001,2500,1220,0.17,1.2,0.0000028,,198,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL18NA",870-24856B,,870-24856B,100,180,43.8,2040198,2500,1250,0.12,1,0.00000785,,200,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL18NA",870-94243A,,870-94243A,100,360,120.4,2010370,2500,1250,1.22,2,0.00000785,1,46,30
2A,1001,10,100,01-09-2016,01-09-2016,8,"PVSCL18NA",870-94243A,,870-94243A,100,360,120.4,2011180,,1250,1.22,2,0.00000785,2,43,30
3A,1001,10,2000,01-09-2016,01-09-2016,11,ACRC-501,0M-6489G,,870-11410C,2000,294,159.4,2110002,2500,1250,0.87,2,0.00000785,1,55,35
3A,1001,10,2000,01-09-2016,01-09-2016,11,ACRC-501,0M-6489G,,870-11410C,2000,294,159.4,2110002,2000,1250,0.923,2,0.00000785,2,55,35
3A,1001,10,2000,01-09-2016,01-09-2016,11,ACRC-501,0M-6489G,,870-11410C,2000,294,159.4,2110006,,1250,,2,0.00000785,3,44.5,35
3A,1001,10,200,01-09-2016,01-09-2016,11,,S1A81002D,,S1A81002D,200,710,380,2021163,1420,380,3.176895,1.5,0.00000785,,33.5,30
3A,1001,10,2000,01-09-2016,01-09-2016,11,ACRC-501,0M-6489G,,870-10777D,2000,602,120.5,2110001,,,1.04,1.5,0.00000785,,55,30
